What is the descriiption of the apartment with the ID 14? ||| SELECT Description FROM ApartmentDescription WHERE ApartmentID = 14;
Who are the current owners of each apartment? ||| SELECT o.OwnerName, ao.ApartmentID FROM ApartmentOwnership ao INNER JOIN Owners o ON ao.OwnerID = o.OwnerID GROUP BY o.OwnerName ORDER BY COUNT(ao.ApartmentID) DESC LIMIT 1
How many apartments are owned by each owner? ||| SELECT o.OwnerName, COUNT(ao.ApartmentID) AS NumberOfApartments FROM Owners o JOIN ApartmentOwnership ao ON o.OwnerID = ao.OwnerID GROUP BY o.OwnerID
List all apartment that have been transferred after 2023-01-01 ||| SELECT ad.ApartmentAddress, ot.Price, ot.Date FROM ApartmentDetails ad JOIN ApartmentOwnership ao ON ad.ApartmentID = ao.ApartmentID JOIN OwnershipTransfers ot ON ao.TransferID = ot.TransferID WHERE ot.Date > '2023-01-01'
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT ApartmentAddress, ApartmentID, NumberOfBathrooms, NumberOfRooms  FROM ApartmentDetails  WHERE NumberOfBathrooms > 2 AND NumberOfRooms >= 3;
What is the total value of ownership transfers for each apartment? ||| SELECT SUM(ot.Price) AS TotalValueOfOwnershipTransfers FROM OwnershipTransfers ot JOIN ApartmentOwnership ao ON ot.TransferID = ao.TransferID
Find the owner who has bought the most expensive apartment. ||| SELECT o.OwnerName FROM Owners o JOIN ApartmentOwnership ao ON o.OwnerID = ao.OwnerID JOIN OwnershipTransfers ot ON ao.TransferID = ot.TransferID GROUP BY o.OwnerID ORDER BY SUM(ot.Price) DESC LIMIT 1
Which owner owns more than 6 apartment? ||| SELECT o.OwnerName FROM Owners o JOIN ApartmentOwnership ao ON o.OwnerID = ao.OwnerID GROUP BY o.OwnerID HAVING COUNT(ao.ApartmentID) > 6
List all apartments with their last transfer price and date. ||| SELECT ad.ApartmentAddress, ot.Date, ot.Price  FROM ApartmentDetails ad  JOIN ApartmentOwnership ao ON ad.ApartmentID = ao.ApartmentID  JOIN OwnershipTransfers ot ON ao.TransferID = ot.TransferID
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT ApartmentAddress, Size, NumberOfRooms FROM ApartmentDetails WHERE ApartmentID IN ( SELECT ApartmentID FROM ApartmentDescription WHERE Description LIKE '%Panoramic Views%')
What is the total number of rooms for all apartments owned by each owner? ||| SELECT SUM(NumberOfRooms + NumberOfBathrooms) AS TotalNumberOfRooms, o.OwnerName  FROM Owners o JOIN ApartmentOwnership ao ON o.OwnerID = ao.OwnerID  JOIN ApartmentDetails ad ON ao.ApartmentID = ad.ApartmentID GROUP BY o.OwnerID
