What is the descriiption of the apartment with the ID 14? ||| SELECT Description FROM ApartmentDescription WHERE ApartmentID = 14
Who are the current owners of each apartment? ||| SELECT T1.OwnerID, T2.ApartmentAddress FROM ApartmentOwnership AS T1 INNER JOIN ApartmentDetails AS T2 ON T1.ApartmentID = T2.ApartmentID ORDER BY T2.ApartmentAddress
How many apartments are owned by each owner? ||| SELECT T1.OwnerID, COUNT(T2.ApartmentID) FROM Owners AS T1 INNER JOIN ApartmentOwnership AS T2 ON T1.OwnerID = T2.OwnerID GROUP BY T1.OwnerID
List all apartment that have been transferred after 2023-01-01 ||| SELECT T1.ApartmentAddress FROM ApartmentDetails AS T1 INNER JOIN OwnershipTransfers AS T2 ON T1.ApartmentID = T2.TransferID WHERE STRFTIME('%Y-%m-%d',T2.Date) > '2023-01-01'
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT ApartmentID FROM ApartmentDetails WHERE NumberOfBathrooms > 2 AND NumberOfRooms >= 3
What is the total value of ownership transfers for each apartment? ||| SELECT T2.Price * 1 FROM ApartmentOwnership AS T1 INNER JOIN OwnershipTransfers AS T2 ON T1.TransferID = T2.TransferID
Find the owner who has bought the most expensive apartment. ||| SELECT T1.OwnerName FROM Owners AS T1 INNER JOIN ApartmentOwnership AS T2 ON T1.OwnerID = T2.OwnerID INNER JOIN OwnershipTransfers AS T3 ON T2.TransferID = T3.TransferID ORDER BY T3.Price DESC LIMIT 1
Which owner owns more than 6 apartment? ||| SELECT OwnerID FROM ApartmentOwnership GROUP BY OwnerID HAVING COUNT(ApartmentID) > 6
List all apartments with their last transfer price and date. ||| SELECT T2.ApartmentAddress, T1.Date, T1.Price FROM OwnershipTransfers AS T1 INNER JOIN ApartmentDetails AS T2 ON T1.TransferID = 42
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT "ApartmentID" FROM "ApartmentDescription" WHERE "Description" = '>\n\n**Charming Apartment with Panoramic Views** \n\nLocated in a desirable neighborhood, this charming'
What is the total number of rooms for all apartments owned by each owner? ||| SELECT COUNT(T1.NumberOfRooms) FROM ApartmentDetails AS T1 INNER JOIN ApartmentOwnership AS T2 ON T1.ApartmentID = T2.ApartmentID INNER JOIN Owners AS T3 ON T2.OwnerID = T3.OwnerID GROUP BY T3.OwnerName
What is the average price of apartment transfers by year? ||| SELECT CAST(SUM(Price) AS REAL) / COUNT(T1.TransferID) , STRFTIME('%Y', T1.Date) FROM OwnershipTransfers AS T1 GROUP BY STRFTIME('%Y', T1.Date)
Find the most common number of rooms among all apartments. ||| SELECT T1.NumberOfRooms FROM ApartmentDetails AS T1 INNER JOIN Result AS T2 ON T1.ApartmentID = T2.ApartmentID GROUP BY T1.NumberOfRooms ORDER BY COUNT(T1.ApartmentID) DESC LIMIT 1
Retrieve the owners and the total number of bathrooms in the apartments they own. ||| SELECT T1.OwnerName, SUM(T2.NumberOfBathrooms) FROM Owners AS T1 INNER JOIN ApartmentOwnership AS T3 ON T1.OwnerID = T3.OwnerID INNER JOIN ApartmentDetails AS T2 ON T3.ApartmentID = T2.ApartmentID GROUP BY T1.OwnerName
List the apartments with the smallest size that have at least two bathrooms. ||| SELECT DISTINCT ApartmentAddress FROM ApartmentDetails WHERE NumberOfBathrooms > 2 AND Size = ( SELECT MIN(Size) FROM ApartmentDetails WHERE NumberOfBathrooms > 2 )
What is the total number of apartments with balconies owned by each owner? ||| SELECT COUNT(T2.ApartmentID) FROM Owners AS T1 INNER JOIN ApartmentOwnership AS T2 ON T1.OwnerID = T2.OwnerID INNER JOIN ApartmentDetails AS T3 ON T2.ApartmentID = T3.ApartmentID WHERE T3.Balcony = 1 GROUP BY T1.OwnerName
