What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Who are the current owners of each apartment? ||| SELECT T1.OWNERID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.OWNERID WHERE T1.APARTMENTID IN ( SELECT APARTMENTID FROM APARTMENTDETAILS ) ;
How many apartments are owned by each owner? ||| SELECT COUNT( T2.APARTMENTID ) , T1.OWNERID FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T1.OWNERID ;
List all apartment that have been transferred after 2023-01-01 ||| SELECT T1.APARTMENTADDRESS FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID WHERE T3.DATE > "2023-01-01" ;
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT * FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS > 2 AND NUMBEROFROOMS >= 3 ;
What is the total value of ownership transfers for each apartment? ||| SELECT SUM( T1.PRICE ) FROM OWNERSHIPTRANSFERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.TRANSFERID = T1.TRANSFERID ;
Find the owner who has bought the most expensive apartment. ||| SELECT DISTINCT T1.OWNERID FROM OWNERSHIPTRANSFERS AS T2 INNER JOIN APARTMENTOWNERSHIP AS T3 ON T3.TRANSFERID = T2.TRANSFERID INNER JOIN OWNERS AS T1 ON T3.OWNERID = T1.OWNERID ORDER BY T2.PRICE DESC LIMIT 1 ;
Which owner owns more than 6 apartment? ||| SELECT DISTINCT T1.OWNERID FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T1.OWNERID HAVING COUNT( T1.OWNERID ) > 6 ;
List all apartments with their last transfer price and date. ||| SELECT T1.APARTMENTADDRESS , T2.DATE , T2.PRICE FROM APARTMENTDETAILS AS T1 INNER JOIN OWNERSHIPTRANSFERS AS T2 ON T2.TRANSFERID = T1.APARTMENTID WHERE T1.BALCONY = 1 ;
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT DISTINCT T1.APARTMENTID FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTDESCRIPTION AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T2.DESCRIPTION LIKE "%Panoramic Views%" ;
What is the total number of rooms for all apartments owned by each owner? ||| SELECT SUM( T1.NUMBEROFROOMS ) FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERS AS T3 ON T3.OWNERID = T2.OWNERID GROUP BY T3.OWNERNAME ;
What is the average price of apartment transfers by year? ||| SELECT CAST ( SUM( CAST ( ( PRICE ) AS REAL ) ) AS REAL ) / COUNT( * ) FROM OWNERSHIPTRANSFERS ;
Find the most common number of rooms among all apartments. ||| SELECT MAX( NUMBEROFROOMS ) FROM APARTMENTDETAILS ;
Retrieve the owners and the total number of bathrooms in the apartments they own. ||| SELECT DISTINCT SUM( T2.NUMBEROFBATHROOMS ) , T1.OWNERNAME FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T3 ON T3.OWNERID = T1.OWNERID INNER JOIN APARTMENTDETAILS AS T2 ON T3.APARTMENTID = T2.APARTMENTID GROUP BY T1.OWNERNAME ;
List the apartments with the smallest size that have at least two bathrooms. ||| SELECT T1.APARTMENTADDRESS FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTRATINGS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.NUMBEROFBATHROOMS >= 2 ORDER BY T1.SIZE LIMIT 1 ;
What is the total number of apartments with balconies owned by each owner? ||| SELECT COUNT( T1.APARTMENTID ) FROM APARTMENTOWNERSHIP AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T2.BALCONY = 1 GROUP BY T1.OWNERID ;
