What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Who are the current owners of each apartment? ||| SELECT T1.OWNERID , T2.OWNERNAME FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.OWNERID ;
How many apartments are owned by each owner? ||| SELECT COUNT( T2.APARTMENTID ) , T1.OWNERID FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T1.OWNERID ;
List all apartment that have been transferred after 2023-01-01 ||| SELECT T1.APARTMENTID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERSHIPTRANSFERS AS T2 ON T2.TRANSFERID = T1.TRANSFERID WHERE T2.DATE > "2023-01-01" ;
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT DISTINCT T1.APARTMENTID FROM APARTMENTDETAILS AS T1 INNER JOIN RESULT AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.NUMBEROFROOMS >= 3 AND T2.NUMBEROFBATHROOMS > 2 ;
What is the total value of ownership transfers for each apartment? ||| SELECT SUM( T2.PRICE ) FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERSHIPTRANSFERS AS T2 ON T2.TRANSFERID = T1.TRANSFERID GROUP BY T1.APARTMENTID ;
Find the owner who has bought the most expensive apartment. ||| SELECT T1.OWNERID FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.OWNERID = T1.OWNERID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID ORDER BY T3.PRICE DESC LIMIT 1 ;
Which owner owns more than 6 apartment? ||| SELECT T2.OWNERID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T1.APARTMENTID HAVING COUNT( T1.OWNERID ) > 6 ;
List all apartments with their last transfer price and date. ||| SELECT T1.APARTMENTADDRESS FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID ORDER BY T3.DATE DESC LIMIT 1 ;
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT * FROM "ApartmentDescription" WHERE DESCRIPTION LIKE "%Panoramic Views%" ;
What is the total number of rooms for all apartments owned by each owner? ||| SELECT COUNT( T2.NUMBEROFROOMS ) , T1.OWNERID FROM OWNERS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.OWNERID GROUP BY T1.OWNERID ;
What is the average price of apartment transfers by year? ||| SELECT CAST ( SUM( CASE WHEN STRFTIME ( "%Y" , `DATE` ) = "1991" THEN PRICE ELSE 0 END ) AS REAL ) + CAST ( SUM( CASE WHEN STRFTIME ( "%Y" , `DATE` ) = "2005" THEN PRICE ELSE 0 END ) AS REAL ) + CAST ( SUM( CASE WHEN STRFTIME ( "%Y" , `DATE` ) = "1973" THEN PRICE ELSE 0 END ) AS REAL ) , STRFTIME ( "%Y" , `DATE` ) FROM OWNERSHIPTRANSFERS ;
Find the most common number of rooms among all apartments. ||| SELECT MAX( NUMBEROFROOMS ) FROM APARTMENTDETAILS ;
Retrieve the owners and the total number of bathrooms in the apartments they own. ||| SELECT COUNT( T2.NUMBEROFBATHROOMS ) , T1.OWNERID FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T3 ON T3.OWNERID = T1.OWNERID INNER JOIN APARTMENTDETAILS AS T2 ON T3.APARTMENTID = T2.APARTMENTID GROUP BY T1.OWNERNAME ;
List the apartments with the smallest size that have at least two bathrooms. ||| SELECT APARTMENTADDRESS FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS >= 2 ORDER BY SIZE ASC LIMIT 1 ;
What is the total number of apartments with balconies owned by each owner? ||| SELECT SUM( CASE WHEN T2.BALCONY THEN 1 ELSE 0 END ) , T3.OWNERID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERS AS T3 ON T3.OWNERID = T1.OWNERID ;
Retrieve the list of all apartments with their latest review text and rating. ||| SELECT T1.DESCRIPTION AS APARTMENT_DESCRIPTION , T3.RATING , T3.TEXT AS LATEST_REVIEW FROM APARTMENTDESCRIPTION AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN APARTMENTRATINGS AS T3 ON T3.APARTMENTID = T2.APARTMENTID ORDER BY T2.APARTMENTID DESC ;
