What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Who are the current owners of each apartment? ||| SELECT AD.APARTMENTADDRESS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID ;
How many apartments are owned by each owner? ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID ;
List all apartment that have been transferred after 2023-01-01 ||| SELECT AD.APARTMENTADDRESS , OT.PRICE FROM OWNERSHIPTRANSFERS OT INNER JOIN APARTMENTOWNERSHIP AO ON OT.TRANSFERID = AO.TRANSFERID INNER JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID WHERE STRFTIME ( "%Y-%m-%d" , OT.DATE ) > "2023-01-01" ;
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT APARTMENTADDRESS , APARTMENTID , NUMBEROFBATHROOMS , NUMBEROFROOMS FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS > 2 AND NUMBEROFROOMS >= 3 ;
What is the total value of ownership transfers for each apartment? ||| SELECT SUM( OT.PRICE ) FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID ;
Find the owner who has bought the most expensive apartment. ||| SELECT O.OWNERNAME , OT.PRICE FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID ORDER BY OT.PRICE DESC LIMIT 1 ;
Which owner owns more than 6 apartment? ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID HAVING COUNT( AO.APARTMENTID ) > 6 ;
List all apartments with their last transfer price and date. ||| SELECT AD.APARTMENTADDRESS , OT.DATE , OT.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID WHERE OT.DATE = ( SELECT MAX( OT2.DATE ) FROM OWNERSHIPTRANSFERS OT2 JOIN APARTMENTOWNERSHIP AO2 ON OT2.TRANSFERID = AO2.TRANSFERID WHERE AO2.APARTMENTID = AD.APARTMENTID ) ;
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT AD.APARTMENTADDRESS , AD.NUMBEROFROOMS , AD.SIZE FROM APARTMENTDETAILS AD JOIN APARTMENTDESCRIPTION D ON D.APARTMENTID = AD.APARTMENTID WHERE D.DESCRIPTION LIKE "%Panoramic Views%" ;
What is the total number of rooms for all apartments owned by each owner? ||| SELECT COUNT( DISTINCT A.NUMBEROFROOMS ) , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN APARTMENTDETAILS A ON AO.APARTMENTID = A.APARTMENTID GROUP BY O.OWNERNAME ;
What is the average price of apartment transfers by year? ||| SELECT AVG ( PRICE ) FROM OWNERSHIPTRANSFERS WHERE DATE <= "2000-12-31" AND DATE >= "1970-01-01" ;
Find the most common number of rooms among all apartments. ||| SELECT MIN( NUMBEROFROOMS ) AS MOSTCOMMONROOMS FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS ORDER BY COUNT( * ) DESC LIMIT 1 ;
Retrieve the owners and the total number of bathrooms in the apartments they own. ||| SELECT O.OWNERNAME , SUM( AD.NUMBEROFBATHROOMS ) AS TOTALBATHROOMS FROM OWNERS O INNER JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID INNER JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID GROUP BY O.OWNERNAME ;
List the apartments with the smallest size that have at least two bathrooms. ||| SELECT T1.APARTMENTADDRESS , T1.NUMBEROFBATHROOMS , T1.NUMBEROFROOMS , T1.SIZE FROM APARTMENTDETAILS AS T1 INNER JOIN RESULT AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE T1.NUMBEROFBATHROOMS > 2 AND T1.SIZE = ( SELECT MIN( SIZE ) FROM APARTMENTDETAILS ) ;
What is the total number of apartments with balconies owned by each owner? ||| SELECT COUNT( DISTINCT A.OWNERID ) , O.OWNERNAME FROM APARTMENTOWNERSHIP A INNER JOIN OWNERS O ON O.OWNERID = A.OWNERID INNER JOIN APARTMENTDETAILS D ON D.APARTMENTID = A.APARTMENTID WHERE D.BALCONY = 1 GROUP BY O.OWNERID ;
Retrieve the list of all apartments with their latest review text and rating. ||| SELECT AD.APARTMENTADDRESS , AR.RATING , AR.TEXT FROM APARTMENTDETAILS AD INNER JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID ORDER BY AR.APARTMENTID DESC ;
List apartments with their addresses that have never received a rating of 1. ||| SELECT D.APARTMENTADDRESS FROM APARTMENTDETAILS AS D WHERE NOT EXISTS ( SELECT * FROM APARTMENTRATINGS AS R WHERE R.APARTMENTID = D.APARTMENTID AND R.RATING = 1 ) ;
Get the average size of apartments by the number of rooms. ||| SELECT AVG ( SIZE ) FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS ;
List apartments ordered by their length of the description. ||| SELECT AD.APARTMENTID , D.DESCRIPTION FROM APARTMENTDESCRIPTION D JOIN APARTMENTDETAILS AD ON D.APARTMENTID = AD.APARTMENTID ORDER BY LENGTH ( D.DESCRIPTION ) ;
Find all apartments with a maximal rating below 3. ||| SELECT AD.APARTMENTADDRESS , MAX( AR.RATING ) AS HIGHESTRATING FROM APARTMENTDETAILS AD LEFT JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID WHERE AD.BALCONY = 1 AND AD.NUMBEROFROOMS >= 3 AND AR.RATING < 3 GROUP BY AD.APARTMENTID ;
Find the average number of rooms for apartments with and without balconies. ||| SELECT CAST ( SUM( CASE WHEN BALCONY THEN NUMBEROFROOMS ELSE 0 END ) AS REAL ) / COUNT( CASE WHEN BALCONY THEN APARTMENTID ELSE NULL END ) , CAST ( SUM( CASE WHEN NOT BALCONY THEN NUMBEROFROOMS ELSE 0 END ) AS REAL ) / COUNT( CASE WHEN NOT BALCONY THEN APARTMENTID ELSE NULL END ) FROM APARTMENTDETAILS ;
List all apartments that were transferred for more than $200,000 and received an average rating of at least 4. ||| SELECT AD.APARTMENTADDRESS , AD.SIZE , AR.RATING FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID WHERE AR.RATING >= 4 AND OT.PRICE > 200000 ;
Find the apartments that have a size above the average size of all apartments. ||| SELECT APARTMENTADDRESS , SIZE FROM APARTMENTDETAILS WHERE SIZE > ( SELECT AVG ( SIZE ) FROM APARTMENTDETAILS ) ;
List the owners and the total value of all apartments they have transferred. ||| SELECT O.OWNERNAME , SUM( OT.PRICE ) AS TOTALVALUE FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID GROUP BY O.OWNERNAME ;
Select all adresses of all apartments ||| SELECT T2.APARTMENTADDRESS , T2.APARTMENTID FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.APARTMENTID ;
Get the descriptions of apartments with a balcony ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID IN ( SELECT APARTMENTID FROM APARTMENTDETAILS WHERE BALCONY = 1 ) ;
Get top 5 highest-rated apartments ||| SELECT AR.APARTMENTID , MAX( AR.RATING ) AS HIGHESTRATING FROM APARTMENTRATINGS AR GROUP BY AR.APARTMENTID ORDER BY HIGHESTRATING DESC LIMIT 5 ;
Get apartments which are bigger than 1000 ||| SELECT APARTMENTADDRESS , SIZE FROM APARTMENTDETAILS WHERE SIZE > 1000 ;
Find apartments with more than 2 bathrooms and a rating higher than 4 ||| SELECT AD.APARTMENTADDRESS , AR.RATING FROM APARTMENTRATINGS AR INNER JOIN APARTMENTDETAILS AD ON AR.APARTMENTID = AD.APARTMENTID WHERE AD.NUMBEROFBATHROOMS > 2 AND AR.RATING > 4 ;
Find how many apartments have balconies ||| SELECT COUNT( APARTMENTID ) FROM APARTMENTDETAILS WHERE BALCONY = 1 ;
Find all unique owner names ||| SELECT DISTINCT OWNERNAME FROM OWNERS ;
List all apartments that have a description containing thw word 'beautiful' ||| SELECT AD.APARTMENTADDRESS , D.DESCRIPTION FROM APARTMENTDESCRIPTION D JOIN APARTMENTDETAILS AD ON D.APARTMENTID = AD.APARTMENTID WHERE D.DESCRIPTION LIKE "%beautiful%" ;
Count the number of transfers each owner has been involved in ||| SELECT COUNT( DISTINCT AO.TRANSFERID ) AS TRANSFERCOUNT , O.OWNERNAME FROM APARTMENTOWNERSHIP AO JOIN OWNERS O ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID ;
