What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Who are the current owners of each apartment? ||| SELECT AD.APARTMENTADDRESS , O.OWNERNAME FROM OWNERS O INNER JOIN APARTMENTOWNERSHIP AON ON O.OWNERID = AON.OWNERID INNER JOIN APARTMENTDETAILS AD ON AON.APARTMENTID = AD.APARTMENTID ;
How many apartments are owned by each owner? ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID ;
List all apartment that have been transferred after 2023-01-01 ||| SELECT AD.APARTMENTADDRESS , OT.DATE , OT.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID WHERE OT.DATE >= DATE ( "2023-01-01" ) ;
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT APARTMENTADDRESS , APARTMENTID , NUMBEROFROOMS , SIZE FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS > 2 AND NUMBEROFROOMS >= 3 ;
What is the total value of ownership transfers for each apartment? ||| SELECT AD.APARTMENTID , SUM( OT.PRICE ) AS TOTALVALUE FROM APARTMENTDETAILS AD INNER JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID GROUP BY AD.APARTMENTID ;
Find the owner who has bought the most expensive apartment. ||| SELECT O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID ORDER BY OT.PRICE DESC LIMIT 1 ;
Which owner owns more than 6 apartment? ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID HAVING COUNT( AO.APARTMENTID ) > 6 ;
List all apartments with their last transfer price and date. ||| SELECT AD.APARTMENTADDRESS , OT.DATE , OT.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID ;
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT AD.APARTMENTADDRESS , AD.NUMBEROFROOMS , AD.SIZE FROM APARTMENTDETAILS AD JOIN APARTMENTDESCRIPTION D ON D.APARTMENTID = AD.APARTMENTID WHERE D.DESCRIPTION LIKE "%Panoramic Views%" ;
What is the total number of rooms for all apartments owned by each owner? ||| SELECT O.OWNERNAME , SUM( A.NUMBEROFROOMS ) AS TOTALNUMBEROFROOMS FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN APARTMENTDETAILS A ON AO.APARTMENTID = A.APARTMENTID GROUP BY O.OWNERID ;
