What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Who are the current owners of each apartment? ||| SELECT T1.OWNERID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.OWNERID WHERE T1.APARTMENTID NOT IN ( SELECT TRANSFERID FROM OWNERSHIPTRANSFERS ) GROUP BY T1.OWNERID ;
How many apartments are owned by each owner? ||| SELECT COUNT( T1.APARTMENTID ) , T2.OWNERID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T2.OWNERID ;
List all apartment that have been transferred after 2023-01-01 ||| SELECT T1.APARTMENTID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERSHIPTRANSFERS AS T2 ON T2.TRANSFERID = T1.TRANSFERID WHERE T2.`DATE` > "2023-01-01" ;
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT DISTINCT T2.APARTMENTID FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTDESCRIPTION AS T2 ON T2.APARTMENTID = T1.APARTMENTID WHERE ( ( T1.NUMBEROFBATHROOMS > 2 ) AND ( T1.NUMBEROFROOMS >= 3 ) ) ;
What is the total value of ownership transfers for each apartment? ||| SELECT SUM( T1.PRICE ) FROM OWNERSHIPTRANSFERS AS T1 INNER JOIN APARTMENTOWNERSHIP ON T1.TRANSFERID = APARTMENTOWNERSHIP.TRANSFERID GROUP BY APARTMENTOWNERSHIP.APARTMENTID ;
Find the owner who has bought the most expensive apartment. ||| SELECT T1.OWNERID FROM OWNERSHIPTRANSFERS AS T2 INNER JOIN APARTMENTOWNERSHIP AS T3 ON T3.TRANSFERID = T2.TRANSFERID INNER JOIN OWNERS AS T1 ON T3.OWNERID = T1.OWNERID ORDER BY T2.PRICE DESC LIMIT 1 ;
Which owner owns more than 6 apartment? ||| SELECT T1.OWNERID FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T1.OWNERID HAVING COUNT( * ) > 6 ;
List all apartments with their last transfer price and date. ||| SELECT A.APARTMENTID , OT.DATE , OT.PRICE FROM APARTMENTDETAILS AS A INNER JOIN APARTMENTOWNERSHIP AS AO ON AO.APARTMENTID = A.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS OT ON OT.TRANSFERID = AO.TRANSFERID ;
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT * FROM APARTMENTDESCRIPTION WHERE DESCRIPTION LIKE "%Panoramic Views%" ;
What is the total number of rooms for all apartments owned by each owner? ||| SELECT SUM( T2.NUMBEROFROOMS ) , T1.OWNERID FROM OWNERS AS T1 INNER JOIN APARTMENTDETAILS AS T2 ON T2.APARTMENTID = T1.OWNERID GROUP BY T1.OWNERID ;
