What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 1 ;
Who are the current owners of each apartment? ||| SELECT AD.APARTMENTADDRESS , O.OWNERNAME FROM APARTMENTOWNERSHIP AO JOIN OWNERS O ON O.OWNERID = AO.OWNERID JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID ;
How many apartments are owned by each owner? ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERNAME ;
List all apartment that have been transferred after 2023-01-01 ||| SELECT AD.APARTMENTADDRESS , OT.DATE , OT.PRICE FROM APARTMENTOWNERSHIP AO JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID WHERE OT.DATE > "2023-01-01" ;
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT APARTMENTADDRESS , APARTMENTID , NUMBEROFBATHROOMS , NUMBEROFROOMS , SIZE FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS > 2 AND NUMBEROFROOMS >= 3 ;
What is the total value of ownership transfers for each apartment? ||| SELECT AO.APARTMENTID , SUM( OT.PRICE ) AS TOTALVALUEOFTRANSFERS FROM APARTMENTOWNERSHIP AO JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID GROUP BY AO.APARTMENTID ;
Find the owner who has bought the most expensive apartment. ||| SELECT O.OWNERNAME , OT.PRICE FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID ORDER BY OT.PRICE DESC LIMIT 1 ;
Which owner owns more than 6 apartment? ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERNAME HAVING COUNT( AO.APARTMENTID ) > 6 ;
List all apartments with their last transfer price and date. ||| SELECT AD.APARTMENTADDRESS , OT.DATE , OT.PRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID WHERE OT.DATE = ( SELECT MAX( DATE ) FROM OWNERSHIPTRANSFERS OT2 WHERE OT2.TRANSFERID = OT.TRANSFERID ) ;
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT AD.APARTMENTADDRESS , AD.BALCONY , AD.NUMBEROFBATHROOMS , AD.NUMBEROFROOMS , AD.SIZE FROM APARTMENTDETAILS AD JOIN APARTMENTDESCRIPTION D ON D.APARTMENTID = AD.APARTMENTID WHERE D.DESCRIPTION LIKE "%Panoramic Views%" ;
What is the total number of rooms for all apartments owned by each owner? ||| SELECT O.OWNERNAME , SUM( AD.NUMBEROFROOMS ) AS TOTALROOMS FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID GROUP BY O.OWNERNAME ;
What is the average price of apartment transfers by year? ||| SELECT AVG ( OT.PRICE ) AS AVERAGEPRICE , STRFTIME ( "%Y" , OT.DATE ) AS YEAR FROM OWNERSHIPTRANSFERS OT GROUP BY YEAR ;
Find the most common number of rooms among all apartments. ||| SELECT COUNT( * ) AS FREQUENCY , NUMBEROFROOMS FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS ORDER BY FREQUENCY DESC LIMIT 1 ;
Retrieve the owners and the total number of bathrooms in the apartments they own. ||| SELECT O.OWNERNAME , SUM( AD.NUMBEROFBATHROOMS ) AS TOTALBATHROOMS FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID GROUP BY O.OWNERNAME ;
List the apartments with the smallest size that have at least two bathrooms. ||| SELECT APARTMENTADDRESS , NUMBEROFBATHROOMS , NUMBEROFROOMS , SIZE FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS >= 2 ORDER BY SIZE ASC LIMIT 1 ;
What is the total number of apartments with balconies owned by each owner? ||| SELECT COUNT( AD.APARTMENTID ) AS APARTMENTSWITHBALCONY , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID WHERE AD.BALCONY = 1 GROUP BY O.OWNERNAME ;
Retrieve the list of all apartments with their latest review text and rating. ||| SELECT AD.APARTMENTADDRESS , AR.RATING , AR.TEXT FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID WHERE ( AR.APARTMENTID , AR.RATING ) IN ( SELECT APARTMENTID , MAX( RATING ) FROM APARTMENTRATINGS GROUP BY APARTMENTID ) ;
List apartments with their addresses that have never received a rating of 1. ||| SELECT AD.APARTMENTADDRESS FROM APARTMENTDETAILS AD LEFT JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID GROUP BY AD.APARTMENTID HAVING SUM( CASE WHEN AR.RATING = 1 THEN 1 ELSE 0 END ) = 0 ;
Get the average size of apartments by the number of rooms. ||| SELECT AVG ( SIZE ) AS AVERAGESIZE , NUMBEROFROOMS FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS ;
List apartments ordered by their length of the description. ||| SELECT AD.APARTMENTADDRESS , D.DESCRIPTION FROM APARTMENTDETAILS AD JOIN APARTMENTDESCRIPTION D ON D.APARTMENTID = AD.APARTMENTID ORDER BY LENGTH ( D.DESCRIPTION ) DESC ;
Find all apartments with a maximal rating below 3. ||| SELECT AD.APARTMENTADDRESS , AR.RATING FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID GROUP BY AD.APARTMENTID HAVING MAX( AR.RATING ) < 3 ;
Find the average number of rooms for apartments with and without balconies. ||| SELECT AVG ( NUMBEROFROOMS ) AS AVERAGEROOMS , BALCONY FROM APARTMENTDETAILS GROUP BY BALCONY ;
List all apartments that were transferred for more than $200,000 and received an average rating of at least 4. ||| SELECT AD.APARTMENTADDRESS , AVG ( AR.RATING ) AS AVERAGERATING , MAX( OT.PRICE ) AS MAXPRICE FROM APARTMENTDETAILS AD JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID GROUP BY AD.APARTMENTID HAVING MAX( OT.PRICE ) > 200000 AND AVG ( AR.RATING ) >= 4 ;
Find the apartments that have a size above the average size of all apartments. ||| SELECT AD.APARTMENTADDRESS , AD.SIZE FROM APARTMENTDETAILS AD WHERE AD.SIZE > ( SELECT AVG ( SIZE ) FROM APARTMENTDETAILS ) ;
